city,area_sqft,bedrooms,bathrooms,age_years,parking,furnishing,floor,total_floors,gym,swimming_pool,security,near_school,near_hospital,near_market,price
Pune,895.4006443801969,1,1,5.839126612564262,1,Semi Furnished,Ground,2,0,0,1,1,1,1,8326433.0
Chennai,1528.3708416484096,3,1,18.40549169537289,1,Semi Furnished,Mid,4,0,0,0,0,0,1,11185277.0
Ahmedabad,1556.7280200282762,3,1,46.392299855753485,1,Semi Furnished,Ground,1,0,0,0,1,1,1,8128740.0
Kolkata,1592.9188144513764,3,2,10.658943859903408,0,Semi Furnished,Ground,4,1,0,0,1,1,1,12561542.0
Pune,1959.935757977215,3,2,10.624986184058299,1,Unfurnished,Ground,2,0,0,2,0,1,0,16147542.0
Lucknow,2009.461620044949,2,2,1.870688867509294,0,Fully Furnished,Top,3,0,0,2,0,0,0,16849928.0
Bangalore,1202.8945638091668,3,2,7.421222335763116,2,Semi Furnished,Top,5,0,0,0,0,1,0,15167955.0
Pune,1191.9282709755282,4,2,28.705341434264415,1,Unfurnished,Top,3,1,0,0,0,0,1,10024792.0
Ahmedabad,979.9006445222634,2,2,2.1772336383823268,2,Unfurnished,Top,3,0,0,2,0,0,0,7396259.0
Kolkata,1849.4078351402381,3,2,37.42510581445236,1,Semi Furnished,Top,1,0,0,0,1,1,0,12183436.0
Chennai,2224.4100541688576,2,3,16.50813589923296,1,Unfurnished,Top,2,0,1,0,1,1,1,21671450.0
Ahmedabad,1342.4590360455384,2,1,8.195751514714459,0,Unfurnished,Top,1,1,0,0,1,0,0,9670191.0
Ahmedabad,1379.2847176375035,3,3,11.861347832531466,1,Unfurnished,Mid,4,1,0,2,0,1,1,9537609.0
Bangalore,2233.391278449488,3,1,2.446550169467334,0,Fully Furnished,Top,3,0,0,0,1,1,0,31655517.125
Hyderabad,1752.7789266075038,2,3,3.6786000925956306,1,Semi Furnished,Ground,2,0,0,0,1,1,0,14953503.0
Kolkata,1718.1178524005275,3,3,5.061667605244049,0,Fully Furnished,Mid,2,0,0,2,1,0,0,18393118.0
